time,lag04,lag03,lag02,lag01,lag00
85, 9.285714, 9.17647, 2.315789, 2.5, 5.909091
86, 9.17647, 2.315789, 2.5, 5.909091, 0
87, 2.315789, 2.5, 5.909091, 0, 0.75
88, 2.5, 5.909091, 0, 0.75, 0
89, 5.909091, 0, 0.75, 0, 0.64
90, 0, 0.75, 0, 0.64, 1.333333
91, 0.75, 0, 0.64, 1.333333, 3.210526
92, 0, 0.64, 1.333333, 3.210526, 4.307692
93, 0.64, 1.333333, 3.210526, 4.307692, 1.5625
94, 1.333333, 3.210526, 4.307692, 1.5625, 3.647059
95, 3.210526, 4.307692, 1.5625, 3.647059, 5.3125
96, 4.307692, 1.5625, 3.647059, 5.3125, 5.96875
97, 1.5625, 3.647059, 5.3125, 5.96875, 1.933333
98, 3.647059, 5.3125, 5.96875, 1.933333, 4.590909
99, 5.3125, 5.96875, 1.933333, 4.590909, 0.2222222
100, 5.96875, 1.933333, 4.590909, 0.2222222, 3.904762
101, 1.933333, 4.590909, 0.2222222, 3.904762, 2.736842
102, 4.590909, 0.2222222, 3.904762, 2.736842, 16
103, 0.2222222, 3.904762, 2.736842, 16, 1.208333
104, 3.904762, 2.736842, 16, 1.208333, 1
105, 2.736842, 16, 1.208333, 1, 3.105263
106, 16, 1.208333, 1, 3.105263, 0
107, 1.208333, 1, 3.105263, 0, 3.64
108, 1, 3.105263, 0, 3.64, 0.3333333
109, 3.105263, 0, 3.64, 0.3333333, 7.181818
110, 0, 3.64, 0.3333333, 7.181818, 1.176471
111, 3.64, 0.3333333, 7.181818, 1.176471, 6.272727
112, 0.3333333, 7.181818, 1.176471, 6.272727, 3.588235
113, 7.181818, 1.176471, 6.272727, 3.588235, 7.444444
114, 1.176471, 6.272727, 3.588235, 7.444444, 20.20588
115, 6.272727, 3.588235, 7.444444, 20.20588, 6.137931
116, 3.588235, 7.444444, 20.20588, 6.137931, 7.727273
117, 7.444444, 20.20588, 6.137931, 7.727273, 6
118, 20.20588, 6.137931, 7.727273, 6, 13.4
119, 6.137931, 7.727273, 6, 13.4, 10.21053
120, 7.727273, 6, 13.4, 10.21053, 4.285714
121, 6, 13.4, 10.21053, 4.285714, 8.96
122, 13.4, 10.21053, 4.285714, 8.96, 7.833333
123, 10.21053, 4.285714, 8.96, 7.833333, 2.7
124, 4.285714, 8.96, 7.833333, 2.7, 2
125, 8.96, 7.833333, 2.7, 2, 1.96
126, 7.833333, 2.7, 2, 1.96, 0
127, 2.7, 2, 1.96, 0, 5.181818
128, 2, 1.96, 0, 5.181818, 0.5294118
129, 1.96, 0, 5.181818, 0.5294118, 15.12121
130, 0, 5.181818, 0.5294118, 15.12121, 5.411765
131, 5.181818, 0.5294118, 15.12121, 5.411765, 1.944444
132, 0.5294118, 15.12121, 5.411765, 1.944444, 13.03125
133, 15.12121, 5.411765, 1.944444, 13.03125, 0.5862069
134, 5.411765, 1.944444, 13.03125, 0.5862069, 1.590909
135, 1.944444, 13.03125, 0.5862069, 1.590909, 2.7
136, 13.03125, 0.5862069, 1.590909, 2.7, 3.05
137, 0.5862069, 1.590909, 2.7, 3.05, 6.31579
138, 1.590909, 2.7, 3.05, 6.31579, 3.285714
139, 2.7, 3.05, 6.31579, 3.285714, 1.12
140, 3.05, 6.31579, 3.285714, 1.12, 0
141, 6.31579, 3.285714, 1.12, 0, 7.35
142, 3.285714, 1.12, 0, 7.35, 0.5
143, 1.12, 0, 7.35, 0.5, 0.16
144, 0, 7.35, 0.5, 0.16, 0.5
145, 7.35, 0.5, 0.16, 0.5, 3.136364
146, 0.5, 0.16, 0.5, 3.136364, 1.588235
147, 0.16, 0.5, 3.136364, 1.588235, 11.28125
148, 0.5, 3.136364, 1.588235, 11.28125, 1.823529
149, 3.136364, 1.588235, 11.28125, 1.823529, 1.833333
150, 1.588235, 11.28125, 1.823529, 1.833333, 9.46875
151, 11.28125, 1.823529, 1.833333, 9.46875, 0.7586207
152, 1.823529, 1.833333, 9.46875, 0.7586207, 1
153, 1.833333, 9.46875, 0.7586207, 1, 0.2
154, 9.46875, 0.7586207, 1, 0.2, 2.7
155, 0.7586207, 1, 0.2, 2.7, 11.31579
156, 1, 0.2, 2.7, 11.31579, 0
157, 0.2, 2.7, 11.31579, 0, 5.08
158, 2.7, 11.31579, 0, 5.08, 1.166667
159, 11.31579, 0, 5.08, 1.166667, 6.85
160, 0, 5.08, 1.166667, 6.85, 5
161, 5.08, 1.166667, 6.85, 5, 2.04
162, 1.166667, 6.85, 5, 2.04, 1.666667
163, 6.85, 5, 2.04, 1.666667, 2.5
164, 5, 2.04, 1.666667, 2.5, 2.764706
165, 2.04, 1.666667, 2.5, 2.764706, 0.969697
166, 1.666667, 2.5, 2.764706, 0.969697, 0.8235294
167, 2.5, 2.764706, 0.969697, 0.8235294, 2.5
168, 2.764706, 0.969697, 0.8235294, 2.5, 6.029412
169, 0.969697, 0.8235294, 2.5, 6.029412, 8.655172
170, 0.8235294, 2.5, 6.029412, 8.655172, 4.181818
171, 2.5, 6.029412, 8.655172, 4.181818, 1.5
172, 6.029412, 8.655172, 4.181818, 1.5, 7.85
173, 8.655172, 4.181818, 1.5, 7.85, 1.684211
174, 4.181818, 1.5, 7.85, 1.684211, 5
175, 1.5, 7.85, 1.684211, 5, 14.6
176, 7.85, 1.684211, 5, 14.6, 2
177, 1.684211, 5, 14.6, 2, 8.7
178, 5, 14.6, 2, 8.7, 5.75
179, 14.6, 2, 8.7, 5.75, 0.48
180, 2, 8.7, 5.75, 0.48, 0
181, 8.7, 5.75, 0.48, 0, 4.045455
182, 5.75, 0.48, 0, 4.045455, 10.29412
183, 0.48, 0, 4.045455, 10.29412, 6.060606
184, 0, 4.045455, 10.29412, 6.060606, 10.35294
185, 4.045455, 10.29412, 6.060606, 10.35294, 8.833333
186, 10.29412, 6.060606, 10.35294, 8.833333, 15.63636
187, 6.060606, 10.35294, 8.833333, 15.63636, 16
188, 10.35294, 8.833333, 15.63636, 16, 15.90909
189, 8.833333, 15.63636, 16, 15.90909, 2.1
190, 15.63636, 16, 15.90909, 2.1, 30.75
191, 16, 15.90909, 2.1, 30.75, 30.21053
192, 15.90909, 2.1, 30.75, 30.21053, 11.85714
193, 2.1, 30.75, 30.21053, 11.85714, 17.92
194, 30.75, 30.21053, 11.85714, 17.92, 16.83333
195, 30.21053, 11.85714, 17.92, 16.83333, 22.2
196, 11.85714, 17.92, 16.83333, 22.2, 9
197, 17.92, 16.83333, 22.2, 9, 12.24
198, 16.83333, 22.2, 9, 12.24, 4.8
199, 22.2, 9, 12.24, 4.8, 3
200, 9, 12.24, 4.8, 3, 1.769231
201, 12.24, 4.8, 3, 1.769231, 4.533333
202, 4.8, 3, 1.769231, 4.533333, 8.421053
203, 3, 1.769231, 4.533333, 8.421053, 17.9375
204, 1.769231, 4.533333, 8.421053, 17.9375, 5.90625
205, 4.533333, 8.421053, 17.9375, 5.90625, 5.214286
206, 8.421053, 17.9375, 5.90625, 5.214286, 3.25
207, 17.9375, 5.90625, 5.214286, 3.25, 1.857143
208, 5.90625, 5.214286, 3.25, 1.857143, 17.29412
209, 5.214286, 3.25, 1.857143, 17.29412, 9.31579
210, 3.25, 1.857143, 17.29412, 9.31579, 3.333333
211, 1.857143, 17.29412, 9.31579, 3.333333, 10.3913
212, 17.29412, 9.31579, 3.333333, 10.3913, 0
213, 9.31579, 3.333333, 10.3913, 0, 0
214, 3.333333, 10.3913, 0, 0, 0
215, 10.3913, 0, 0, 0, 0.3913043
216, 0, 0, 0, 0.3913043, 13.85714
217, 0, 0, 0.3913043, 13.85714, 3.210526
218, 0, 0.3913043, 13.85714, 3.210526, 6.785714
219, 0.3913043, 13.85714, 3.210526, 6.785714, 3.53125
220, 13.85714, 3.210526, 6.785714, 3.53125, 12.76471
221, 3.210526, 6.785714, 3.53125, 12.76471, 17.4
222, 6.785714, 3.53125, 12.76471, 17.4, 13.87879
223, 3.53125, 12.76471, 17.4, 13.87879, 25.06667
224, 12.76471, 17.4, 13.87879, 25.06667, 23.18182
225, 17.4, 13.87879, 25.06667, 23.18182, 37
226, 13.87879, 25.06667, 23.18182, 37, 13.61905
227, 25.06667, 23.18182, 37, 13.61905, 12.42105
228, 23.18182, 37, 13.61905, 12.42105, 2.571429
229, 37, 13.61905, 12.42105, 2.571429, 5.083333
230, 13.61905, 12.42105, 2.571429, 5.083333, 7.714286
231, 12.42105, 2.571429, 5.083333, 7.714286, 16.89474
232, 2.571429, 5.083333, 7.714286, 16.89474, 0
233, 5.083333, 7.714286, 16.89474, 0, 5
234, 7.714286, 16.89474, 0, 5, 0
235, 16.89474, 0, 5, 0, 0.04545455
236, 0, 5, 0, 0.04545455, 1.352941
237, 5, 0, 0.04545455, 1.352941, 2.030303
238, 0, 0.04545455, 1.352941, 2.030303, 4.705882
239, 0.04545455, 1.352941, 2.030303, 4.705882, 2.833333
240, 1.352941, 2.030303, 4.705882, 2.833333, 3.121212
241, 2.030303, 4.705882, 2.833333, 3.121212, 7.793103
242, 4.705882, 2.833333, 3.121212, 7.793103, 0.8181818
243, 2.833333, 3.121212, 7.793103, 0.8181818, 9.3
244, 3.121212, 7.793103, 0.8181818, 9.3, 4.8
245, 7.793103, 0.8181818, 9.3, 4.8, 2.631579
246, 0.8181818, 9.3, 4.8, 2.631579, 8.428571
247, 9.3, 4.8, 2.631579, 8.428571, 5.041667
248, 4.8, 2.631579, 8.428571, 5.041667, 14
249, 2.631579, 8.428571, 5.041667, 14, 4.1
250, 8.428571, 5.041667, 14, 4.1, 0.75
251, 5.041667, 14, 4.1, 0.75, 3.64
252, 14, 4.1, 0.75, 3.64, 7.333333
253, 4.1, 0.75, 3.64, 7.333333, 4.434783
254, 0.75, 3.64, 7.333333, 4.434783, 1.944444
255, 3.64, 7.333333, 4.434783, 1.944444, 2.5
256, 7.333333, 4.434783, 1.944444, 2.5, 4.411765
257, 4.434783, 1.944444, 2.5, 4.411765, 10.7
258, 1.944444, 2.5, 4.411765, 10.7, 20.37931
259, 2.5, 4.411765, 10.7, 20.37931, 22.76667
260, 4.411765, 10.7, 20.37931, 22.76667, 23.86957
261, 10.7, 20.37931, 22.76667, 23.86957, 19
262, 20.37931, 22.76667, 23.86957, 19, 27.11111
263, 22.76667, 23.86957, 19, 27.11111, 26.35
264, 23.86957, 19, 27.11111, 26.35, 26.11111
265, 19, 27.11111, 26.35, 26.11111, 29.73077
266, 27.11111, 26.35, 26.11111, 29.73077, 30
267, 26.35, 26.11111, 29.73077, 30, 32.95455
268, 26.11111, 29.73077, 30, 32.95455, 18
269, 29.73077, 30, 32.95455, 18, 12.625
270, 30, 32.95455, 18, 12.625, 1.428571
271, 32.95455, 18, 12.625, 1.428571, 5.869565
272, 18, 12.625, 1.428571, 5.869565, 8.666667
273, 12.625, 1.428571, 5.869565, 8.666667, 3.193548
274, 1.428571, 5.869565, 8.666667, 3.193548, 10.94118
275, 5.869565, 8.666667, 3.193548, 10.94118, 6.35
276, 8.666667, 3.193548, 10.94118, 6.35, 1.931034
277, 3.193548, 10.94118, 6.35, 1.931034, 7.8
278, 10.94118, 6.35, 1.931034, 7.8, 2.565217
279, 6.35, 1.931034, 7.8, 2.565217, 4.454545
280, 1.931034, 7.8, 2.565217, 4.454545, 4.444444
281, 7.8, 2.565217, 4.454545, 4.444444, 9.6
282, 2.565217, 4.454545, 4.444444, 9.6, 20.88889
283, 4.454545, 4.444444, 9.6, 20.88889, 9.192308
284, 4.444444, 9.6, 20.88889, 9.192308, 14.5
285, 9.6, 20.88889, 9.192308, 14.5, 3.181818
286, 20.88889, 9.192308, 14.5, 3.181818, 30
287, 9.192308, 14.5, 3.181818, 30, 0.9583333
288, 14.5, 3.181818, 30, 0.9583333, 7.142857
289, 3.181818, 30, 0.9583333, 7.142857, 1.565217
290, 30, 0.9583333, 7.142857, 1.565217, 2.833333
291, 0.9583333, 7.142857, 1.565217, 2.833333, 15.45161
292, 7.142857, 1.565217, 2.833333, 15.45161, 8.333333
293, 1.565217, 2.833333, 15.45161, 8.333333, 13
294, 2.833333, 15.45161, 8.333333, 13, 15.5
295, 15.45161, 8.333333, 13, 15.5, 7.32258
296, 8.333333, 13, 15.5, 7.32258, 10.21739
297, 13, 15.5, 7.32258, 10.21739, 9.454545
298, 15.5, 7.32258, 10.21739, 9.454545, 8.666667
299, 7.32258, 10.21739, 9.454545, 8.666667, 27.8
300, 10.21739, 9.454545, 8.666667, 27.8, 18.66667
301, 9.454545, 8.666667, 27.8, 18.66667, 6.923077
302, 8.666667, 27.8, 18.66667, 6.923077, 18.5
303, 27.8, 18.66667, 6.923077, 18.5, 43.54545
304, 18.66667, 6.923077, 18.5, 43.54545, 29.33333
305, 6.923077, 18.5, 43.54545, 29.33333, 20.95833
306, 18.5, 43.54545, 29.33333, 20.95833, 22.42857
307, 43.54545, 29.33333, 20.95833, 22.42857, 18.47826
308, 29.33333, 20.95833, 22.42857, 18.47826, 10.5
309, 20.95833, 22.42857, 18.47826, 10.5, 15.35484
310, 22.42857, 18.47826, 10.5, 15.35484, 14.22222
311, 18.47826, 10.5, 15.35484, 14.22222, 36.45
312, 10.5, 15.35484, 14.22222, 36.45, 23.9
313, 15.35484, 14.22222, 36.45, 23.9, 41.16129
314, 14.22222, 36.45, 23.9, 41.16129, 67.30435
315, 36.45, 23.9, 41.16129, 67.30435, 44.81818
316, 23.9, 41.16129, 67.30435, 44.81818, 51.05556
317, 41.16129, 67.30435, 44.81818, 51.05556, 38.6
318, 67.30435, 44.81818, 51.05556, 38.6, 76.22222
319, 44.81818, 51.05556, 38.6, 76.22222, 39.53846
320, 51.05556, 38.6, 76.22222, 39.53846, 40.625
321, 38.6, 76.22222, 39.53846, 40.625, 41.72727
322, 76.22222, 39.53846, 40.625, 41.72727, 15
323, 39.53846, 40.625, 41.72727, 15, 11.95833
324, 40.625, 41.72727, 15, 11.95833, 26
325, 41.72727, 15, 11.95833, 26, 8.181818
326, 15, 11.95833, 26, 8.181818, 1.4
327, 11.95833, 26, 8.181818, 1.4, 8.903226
328, 26, 8.181818, 1.4, 8.903226, 9.105263
329, 8.181818, 1.4, 8.903226, 9.105263, 23.05556
330, 1.4, 8.903226, 9.105263, 23.05556, 17.10345
331, 8.903226, 9.105263, 23.05556, 17.10345, 19.03333
332, 9.105263, 23.05556, 17.10345, 19.03333, 12.84211
333, 23.05556, 17.10345, 19.03333, 12.84211, 32.4
334, 17.10345, 19.03333, 12.84211, 32.4, 33.125
335, 19.03333, 12.84211, 32.4, 33.125, 7.866667
336, 12.84211, 32.4, 33.125, 7.866667, 31.875
337, 32.4, 33.125, 7.866667, 31.875, 23.79167
338, 33.125, 7.866667, 31.875, 23.79167, 14.8
339, 7.866667, 31.875, 23.79167, 14.8, 13.06667
340, 31.875, 23.79167, 14.8, 13.06667, 0.3333333
341, 23.79167, 14.8, 13.06667, 0.3333333, 3.863636
342, 14.8, 13.06667, 0.3333333, 3.863636, 11.85714
343, 13.06667, 0.3333333, 3.863636, 11.85714, 1.578947
344, 0.3333333, 3.863636, 11.85714, 1.578947, 8.333333
345, 3.863636, 11.85714, 1.578947, 8.333333, 3.233333
346, 11.85714, 1.578947, 8.333333, 3.233333, 10.05556
347, 1.578947, 8.333333, 3.233333, 10.05556, 12.5
348, 8.333333, 3.233333, 10.05556, 12.5, 9.5
349, 3.233333, 10.05556, 12.5, 9.5, 11.26667
350, 10.05556, 12.5, 9.5, 11.26667, 11
351, 12.5, 9.5, 11.26667, 11, 1.181818
352, 9.5, 11.26667, 11, 1.181818, 20.66667
353, 11.26667, 11, 1.181818, 20.66667, 11.94737
354, 11, 1.181818, 20.66667, 11.94737, 8.75
355, 1.181818, 20.66667, 11.94737, 8.75, 9.807692
356, 20.66667, 11.94737, 8.75, 9.807692, 3.142857
357, 11.94737, 8.75, 9.807692, 3.142857, 7.545455
358, 8.75, 9.807692, 3.142857, 7.545455, 0.6666667
359, 9.807692, 3.142857, 7.545455, 0.6666667, 2.304348
360, 3.142857, 7.545455, 0.6666667, 2.304348, 8.571429
361, 7.545455, 0.6666667, 2.304348, 8.571429, 3.347826
362, 0.6666667, 2.304348, 8.571429, 3.347826, 2.611111
363, 2.304348, 8.571429, 3.347826, 2.611111, 16.25806
364, 8.571429, 3.347826, 2.611111, 16.25806, 13
365, 3.347826, 2.611111, 16.25806, 13, 17.45
366, 2.611111, 16.25806, 13, 17.45, 28.36667
367, 16.25806, 13, 17.45, 28.36667, 26.22581
368, 13, 17.45, 28.36667, 26.22581, 25.21739
369, 17.45, 28.36667, 26.22581, 25.21739, 11.63636
370, 28.36667, 26.22581, 25.21739, 11.63636, 40.44444
371, 26.22581, 25.21739, 11.63636, 40.44444, 15.7
372, 25.21739, 11.63636, 40.44444, 15.7, 13.44444
373, 11.63636, 40.44444, 15.7, 13.44444, 12.65385
374, 40.44444, 15.7, 13.44444, 12.65385, 20.875
375, 15.7, 13.44444, 12.65385, 20.875, 14.5
376, 13.44444, 12.65385, 20.875, 14.5, 23.33333
377, 12.65385, 20.875, 14.5, 23.33333, 8.625
378, 20.875, 14.5, 23.33333, 8.625, 13.14286
379, 14.5, 23.33333, 8.625, 13.14286, 1.73913
380, 23.33333, 8.625, 13.14286, 1.73913, 2.055556
381, 8.625, 13.14286, 1.73913, 2.055556, 5.967742
382, 13.14286, 1.73913, 2.055556, 5.967742, 12.55556
383, 1.73913, 2.055556, 5.967742, 12.55556, 8.947368
384, 2.055556, 5.967742, 12.55556, 8.947368, 8.066667
385, 5.967742, 12.55556, 8.947368, 8.066667, 11.54839
386, 12.55556, 8.947368, 8.066667, 11.54839, 10.26087
387, 8.947368, 8.066667, 11.54839, 10.26087, 14.72727
388, 8.066667, 11.54839, 10.26087, 14.72727, 11.61111
389, 11.54839, 10.26087, 14.72727, 11.61111, 8.5
390, 10.26087, 14.72727, 11.61111, 8.5, 20.44444
391, 14.72727, 11.61111, 8.5, 20.44444, 13.19231
392, 11.61111, 8.5, 20.44444, 13.19231, 20.625
393, 8.5, 20.44444, 13.19231, 20.625, 24.72727
394, 20.44444, 13.19231, 20.625, 24.72727, 25.33333
395, 13.19231, 20.625, 24.72727, 25.33333, 5
396, 20.625, 24.72727, 25.33333, 5, 1.285714
397, 24.72727, 25.33333, 5, 1.285714, 6.434783
398, 25.33333, 5, 1.285714, 6.434783, 6.444444
399, 5, 1.285714, 6.434783, 6.444444, 3.633333
400, 1.285714, 6.434783, 6.444444, 3.633333, 5.166667
401, 6.434783, 6.444444, 3.633333, 5.166667, 5.947368
402, 6.444444, 3.633333, 5.166667, 5.947368, 13.5
403, 3.633333, 5.166667, 5.947368, 13.5, 13.64516
404, 5.166667, 5.947368, 13.5, 13.64516, 10.52174
405, 5.947368, 13.5, 13.64516, 10.52174, 1.818182
406, 13.5, 13.64516, 10.52174, 1.818182, 12.88889
407, 13.64516, 10.52174, 1.818182, 12.88889, 8.3
408, 10.52174, 1.818182, 12.88889, 8.3, 20.55556
409, 1.818182, 12.88889, 8.3, 20.55556, 12.96154
410, 12.88889, 8.3, 20.55556, 12.96154, 4
411, 8.3, 20.55556, 12.96154, 4, 3.818182
412, 20.55556, 12.96154, 4, 3.818182, 0
413, 12.96154, 4, 3.818182, 0, 2.625
414, 4, 3.818182, 0, 2.625, 10.57143
415, 3.818182, 0, 2.625, 10.57143, 10.16667
416, 0, 2.625, 10.57143, 10.16667, 9.777778
417, 2.625, 10.57143, 10.16667, 9.777778, 5.741935
418, 10.57143, 10.16667, 9.777778, 5.741935, 13.55556
419, 10.16667, 9.777778, 5.741935, 13.55556, 12.63158
420, 9.777778, 5.741935, 13.55556, 12.63158, 10.93333
421, 5.741935, 13.55556, 12.63158, 10.93333, 31.54839
422, 13.55556, 12.63158, 10.93333, 31.54839, 19.91304
423, 12.63158, 10.93333, 31.54839, 19.91304, 6.818182
424, 10.93333, 31.54839, 19.91304, 6.818182, 10.55556
425, 31.54839, 19.91304, 6.818182, 10.55556, 8.75
426, 19.91304, 6.818182, 10.55556, 8.75, 5.111111
427, 6.818182, 10.55556, 8.75, 5.111111, 7.423077
428, 10.55556, 8.75, 5.111111, 7.423077, 9.5
429, 8.75, 5.111111, 7.423077, 9.5, 5.045455
430, 5.111111, 7.423077, 9.5, 5.045455, 23.33333
431, 7.423077, 9.5, 5.045455, 23.33333, 17.625
432, 9.5, 5.045455, 23.33333, 17.625, 14.28571
433, 5.045455, 23.33333, 17.625, 14.28571, 4
434, 23.33333, 17.625, 14.28571, 4, 2.277778
435, 17.625, 14.28571, 4, 2.277778, 5.580645
436, 14.28571, 4, 2.277778, 5.580645, 3.666667
437, 4, 2.277778, 5.580645, 3.666667, 10.95
438, 2.277778, 5.580645, 3.666667, 10.95, 11.6
439, 5.580645, 3.666667, 10.95, 11.6, 14.64516
440, 3.666667, 10.95, 11.6, 14.64516, 8.608696
441, 10.95, 11.6, 14.64516, 8.608696, 2
442, 11.6, 14.64516, 8.608696, 2, 7.777778
443, 14.64516, 8.608696, 2, 7.777778, 10.95
444, 8.608696, 2, 7.777778, 10.95, 15.66667
445, 2, 7.777778, 10.95, 15.66667, 8.461538
446, 7.777778, 10.95, 15.66667, 8.461538, 1.75
447, 10.95, 15.66667, 8.461538, 1.75, 4.5
448, 15.66667, 8.461538, 1.75, 4.5, 5.75
449, 8.461538, 1.75, 4.5, 5.75, 3.166667
450, 1.75, 4.5, 5.75, 3.166667, 6.333333
451, 4.5, 5.75, 3.166667, 6.333333, 4.136364
452, 5.75, 3.166667, 6.333333, 4.136364, 3.466667
453, 3.166667, 6.333333, 4.136364, 3.466667, 1.354839
454, 6.333333, 4.136364, 3.466667, 1.354839, 2.052632
455, 4.136364, 3.466667, 1.354839, 2.052632, 30.94444
456, 3.466667, 1.354839, 2.052632, 30.94444, 18.68966
457, 1.354839, 2.052632, 30.94444, 18.68966, 18.54839
458, 2.052632, 30.94444, 18.68966, 18.54839, 16.94737
459, 30.94444, 18.68966, 18.54839, 16.94737, 17.2
460, 18.68966, 18.54839, 16.94737, 17.2, 6.1875
461, 18.54839, 16.94737, 17.2, 6.1875, 16.3125
462, 16.94737, 17.2, 6.1875, 16.3125, 16
463, 17.2, 6.1875, 16.3125, 16, 6.130435
464, 6.1875, 16.3125, 16, 6.130435, 3.2
465, 16.3125, 16, 6.130435, 3.2, 2.5625
466, 16, 6.130435, 3.2, 2.5625, 27.33333
467, 6.130435, 3.2, 2.5625, 27.33333, 1.818182
468, 3.2, 2.5625, 27.33333, 1.818182, 16.71429
469, 2.5625, 27.33333, 1.818182, 16.71429, 8
470, 27.33333, 1.818182, 16.71429, 8, 2.6
471, 1.818182, 16.71429, 8, 2.6, 9.774194
472, 16.71429, 8, 2.6, 9.774194, 5.333333
473, 8, 2.6, 9.774194, 5.333333, 37.05
474, 2.6, 9.774194, 5.333333, 37.05, 27.96667
475, 9.774194, 5.333333, 37.05, 27.96667, 51.64516
476, 5.333333, 37.05, 27.96667, 51.64516, 37.26087
477, 37.05, 27.96667, 51.64516, 37.26087, 34.63636
